condition,subject,trial,su,rotation,rt,mt,ep
interleaved,2,195,26.78,0.0,358,84,-1.56
interleaved,2,196,0.0,0.0,300,67,-1.49
interleaved,2,197,26.78,0.0,313,67,-1.56
interleaved,2,198,0.0,0.0,359,50,-1.49
interleaved,2,199,0.0,0.0,342,76,-1.56
interleaved,2,200,26.78,0.0,517,108,-1.57
interleaved,2,201,26.78,0.0,367,75,-1.5
interleaved,2,202,26.78,0.0,317,84,-1.45
interleaved,2,203,0.0,0.0,367,66,-1.55
interleaved,2,204,0.0,0.0,366,60,-1.49
interleaved,2,205,0.0,0.0,309,74,-1.62
interleaved,2,206,26.78,0.0,274,68,-1.54
interleaved,2,207,0.0,0.0,292,75,-1.62
interleaved,2,208,0.0,0.0,267,66,-1.47
interleaved,2,209,26.78,0.0,257,59,-1.57
interleaved,2,210,26.78,0.0,358,62,-1.42
interleaved,2,211,0.0,0.0,311,64,-1.52
interleaved,2,212,26.78,0.0,291,66,-1.55
interleaved,2,213,26.78,0.0,367,59,-1.58
interleaved,2,214,0.0,0.0,315,67,-1.55
interleaved,2,215,0.0,0.0,283,66,-1.53
interleaved,2,216,26.78,0.0,333,75,-1.52
interleaved,2,217,0.0,0.0,258,75,-1.58
interleaved,2,218,26.78,0.0,258,66,-1.53
interleaved,2,219,0.0,0.0,300,67,-1.6
interleaved,2,220,26.78,0.0,283,75,-1.53
interleaved,2,221,26.78,0.0,300,66,-1.58
interleaved,2,222,26.78,0.0,325,78,-1.48
interleaved,2,223,0.0,0.0,316,67,-1.6
interleaved,2,224,0.0,0.0,275,75,-1.51
interleaved,2,225,0.0,0.0,299,78,-1.53
interleaved,2,226,26.78,0.0,475,75,-1.55
interleaved,2,227,0.0,0.0,300,75,-1.5
interleaved,2,228,0.0,0.0,300,67,-1.54
interleaved,2,229,0.0,0.0,85,75,-1.56
interleaved,2,230,26.78,0.26,258,67,-1.81
interleaved,2,231,0.0,0.26,291,67,-1.75
