,condition,subject,block,level_3,p,nll,bic,model
105,new_learn,8,6,1,36.53761684457935,99.66683197280062,208.54400431757742,nll_uniy_1
106,new_learn,8,6,0,0.1249647826213307,61.187394738526315,136.19030003501692,nll_glc_0
107,new_learn,8,6,1,-61.77507699654586,61.187394738526315,136.19030003501692,nll_glc_0
108,new_learn,8,6,2,36.5253027166645,61.187394738526315,136.19030003501692,nll_glc_0
109,new_learn,8,6,0,0.999999912078587,78.88996347154816,171.5954375010606,nll_glc_1
110,new_learn,8,6,1,-41.76892505824069,78.88996347154816,171.5954375010606,nll_glc_1
111,new_learn,8,6,2,36.53777648979689,78.88996347154816,171.5954375010606,nll_glc_1
112,new_learn,10,2,0,44.53010745994701,87.94301801463894,185.09637640125405,nll_unix_0
113,new_learn,10,2,1,36.3529088150448,87.94301801463894,185.09637640125405,nll_unix_0
114,new_learn,10,2,0,52.758299012992246,72.5863976273765,154.38313562672917,nll_unix_1
115,new_learn,10,2,1,36.35911470249942,72.5863976273765,154.38313562672917,nll_unix_1
116,new_learn,10,2,0,45.782592603584646,83.63461240071385,176.47956517340387,nll_uniy_0
117,new_learn,10,2,1,36.3564869105632,83.63461240071385,176.47956517340387,nll_uniy_0
118,new_learn,10,2,0,54.445146102087364,78.99451988094116,167.19938013385848,nll_uniy_1
119,new_learn,10,2,1,36.35516851230575,78.99451988094116,167.19938013385848,nll_uniy_1
120,new_learn,10,2,0,-0.9526296760695148,71.93353791330937,157.682586384583,nll_glc_0
121,new_learn,10,2,1,35.40286891942236,71.93353791330937,157.682586384583,nll_glc_0
122,new_learn,10,2,2,36.35583485726226,71.93353791330937,157.682586384583,nll_glc_0
123,new_learn,10,2,0,0.9999972342631382,72.59561481384151,159.0067401856473,nll_glc_1
124,new_learn,10,2,1,-53.213607062753965,72.59561481384151,159.0067401856473,nll_glc_1
125,new_learn,10,2,2,36.35467886664107,72.59561481384151,159.0067401856473,nll_glc_1
126,new_learn,10,6,0,47.39398423124936,93.33909117341952,195.8885227188152,nll_unix_0
127,new_learn,10,6,1,38.624182058847,93.33909117341952,195.8885227188152,nll_unix_0
128,new_learn,10,6,0,47.31988676467578,70.54539909101044,150.30113855399705,nll_unix_1
129,new_learn,10,6,1,38.62557607904402,70.54539909101044,150.30113855399705,nll_unix_1
130,new_learn,10,6,0,50.48470932781042,78.2529801942353,165.71630076044679,nll_uniy_0
131,new_learn,10,6,1,38.62120595844622,78.2529801942353,165.71630076044679,nll_uniy_0
132,new_learn,10,6,0,49.857256038771006,84.68190870756871,178.5741577871136,nll_uniy_1
133,new_learn,10,6,1,38.62461216083692,84.68190870756871,178.5741577871136,nll_uniy_1
134,new_learn,10,6,0,-0.999992191583644,70.56633093710155,154.94817243216738,nll_glc_0
135,new_learn,10,6,1,47.173112398259654,70.56633093710155,154.94817243216738,nll_glc_0
136,new_learn,10,6,2,38.62103339171537,70.56633093710155,154.94817243216738,nll_glc_0
137,new_learn,10,6,0,0.9421866979978932,69.66720120852489,153.14991297501405,nll_glc_1
138,new_learn,10,6,1,-61.39786667334659,69.66720120852489,153.14991297501405,nll_glc_1
139,new_learn,10,6,2,38.62605155053078,69.66720120852489,153.14991297501405,nll_glc_1
140,new_learn,12,2,0,53.48547196104943,119.42170469210541,248.053749756187,nll_unix_0
141,new_learn,12,2,1,35.30724081062951,119.42170469210541,248.053749756187,nll_unix_0
142,new_learn,12,2,0,49.011283361775945,51.84781618666496,112.9059727453061,nll_unix_1
143,new_learn,12,2,1,29.30050877823939,51.84781618666496,112.9059727453061,nll_unix_1
144,new_learn,12,2,0,50.11528861929118,71.89916461431388,153.00866960060392,nll_uniy_0
145,new_learn,12,2,1,35.304762418634795,71.89916461431388,153.00866960060392,nll_uniy_0
