date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-03-27,mis_rep,1000,173,60.0,1.0,0.0,2010,571,-0.85
2025-03-27,mis_rep,1000,174,90.0,1.0,0.0,2009,573,-0.53
2025-03-27,mis_rep,1000,175,-60.0,1.0,0.0,2002,533,-2.51
2025-03-27,mis_rep,1000,176,90.0,1.0,0.0,2008,437,0.59
2025-03-27,mis_rep,1000,177,-60.0,1.0,0.0,2008,573,-2.24
2025-03-27,mis_rep,1000,178,-120.0,1.0,0.0,2008,564,2.08
2025-03-27,mis_rep,1000,179,0.0,1.0,0.0,2006,671,-1.55
2025-03-27,mis_rep,1000,180,-60.0,1.0,0.0,2004,526,-2.38
2025-03-27,mis_rep,1000,181,90.0,1.0,0.0,2008,532,0.32
2025-03-27,mis_rep,1000,182,-150.0,1.0,0.0,2009,498,1.96
2025-03-27,mis_rep,1000,183,30.0,1.0,0.0,2004,517,-1.26
2025-03-27,mis_rep,1000,184,120.0,1.0,0.0,2001,550,0.97
2025-03-27,mis_rep,1000,185,90.0,1.0,0.0,2006,428,-0.23
2025-03-27,mis_rep,1000,186,150.0,1.0,0.0,2005,1366,1.27
2025-03-27,mis_rep,1000,187,120.0,1.0,0.0,2010,576,0.89
2025-03-27,mis_rep,1000,188,30.0,1.0,0.0,2009,551,-1.2
2025-03-27,mis_rep,1000,189,120.0,1.0,0.0,2010,393,1.03
2025-03-27,mis_rep,1000,190,-60.0,1.0,0.0,2003,707,-2.29
2025-03-27,mis_rep,1000,191,60.0,1.0,0.0,2001,424,-0.74
2025-03-27,mis_rep,1000,192,-90.0,1.0,0.0,2003,706,-3.12
2025-03-27,mis_rep,1000,193,60.0,1.0,0.0,2003,423,-0.75
2025-03-27,mis_rep,1000,194,150.0,1.0,0.0,2005,452,1.28
2025-03-27,mis_rep,1000,195,0.0,1.0,0.0,2006,487,-1.51
2025-03-27,mis_rep,1000,196,-90.0,1.0,0.0,2006,497,2.94
2025-03-27,mis_rep,1000,197,90.0,1.0,0.0,2003,449,0.19
2025-03-27,mis_rep,1000,198,-120.0,1.0,0.0,2003,490,2.13
2025-03-27,mis_rep,1000,199,30.0,1.0,0.0,2003,627,-1.22
2025-03-27,mis_rep,1000,200,-90.0,1.0,0.0,2002,496,3.13
2025-03-27,mis_rep,1000,201,-60.0,1.0,0.0,2005,534,-2.25
2025-03-27,mis_rep,1000,202,0.0,1.0,0.0,2001,392,-1.58
2025-03-27,mis_rep,1000,203,90.0,1.0,0.0,2003,485,-0.08
2025-03-27,mis_rep,1000,204,-30.0,1.0,0.0,2008,490,-1.92
2025-03-27,mis_rep,1000,205,0.0,1.0,0.0,2008,400,-1.62
