,condition,trial,phase,su_prev,emv,delta_emv,movement_error,movement_error_prev,rotation
456,interleaved,31,2.0,26.78,-4.968733403488258,-6.19839167530634,-34.76253875029107,-28.564147074984728,29.79380534680281
457,interleaved,32,2.0,26.78,-1.483230240567579,3.485503162920679,-31.27703558737039,-34.76253875029107,29.79380534680281
458,interleaved,33,2.0,26.78,1.213929270266263,2.697159510833842,-28.579876076536546,-31.27703558737039,29.79380534680281
459,interleaved,34,2.0,26.78,-0.5408634496649256,-1.7547927199311886,-30.334668796467735,-28.579876076536546,29.79380534680281
460,interleaved,35,2.0,26.78,-0.78267275004076,-0.24180930037583437,-30.57647809684357,-30.334668796467735,29.79380534680281
461,interleaved,36,2.0,26.78,2.2067403763515188,2.9894131263922787,-27.58706497045129,-30.57647809684357,29.79380534680281
462,interleaved,37,2.0,0.0,-0.44414923067570555,-2.6508896070272243,-30.237954577478515,-27.58706497045129,29.79380534680281
463,interleaved,38,2.0,26.78,-1.818438594112294,-1.3742893634365885,-31.612243940915103,-30.237954577478515,29.79380534680281
464,interleaved,39,2.0,0.0,-1.579249303238882,0.23918929087341212,-31.37305465004169,-31.612243940915103,29.79380534680281
465,interleaved,40,2.0,0.0,-1.1199365944403752,0.4593127087985067,-30.913741941243185,-31.37305465004169,29.79380534680281
466,interleaved,41,2.0,0.0,-0.44811353493658146,0.6718230595037937,-30.24191888173939,-30.913741941243185,29.79380534680281
467,interleaved,42,2.0,0.0,-5.195021405979915,-4.746907871043334,-34.98882675278273,-30.24191888173939,29.79380534680281
468,interleaved,43,2.0,0.0,-1.583215388541987,3.611806017437928,-31.377020735344797,-34.98882675278273,29.79380534680281
469,interleaved,44,2.0,0.0,0.771805156507753,2.35502054504974,-29.022000190295056,-31.377020735344797,29.79380534680281
470,interleaved,45,2.0,26.78,-2.350580744205814,-3.1223859007135673,-32.14438609100863,-29.022000190295056,29.79380534680281
471,interleaved,46,2.0,0.0,-1.536120353424721,0.8144603907810932,-31.32992570022753,-32.14438609100863,29.79380534680281
472,interleaved,47,2.0,0.0,-1.0660023658501387,0.47011798757458223,-30.859807712652948,-31.32992570022753,29.79380534680281
473,interleaved,48,2.0,26.78,0.05056241094108316,1.116564776791222,-29.743242935861726,-30.859807712652948,29.79380534680281
474,interleaved,49,2.0,0.0,-0.040526868033779806,-0.09108927897486296,-29.83433221483659,-29.743242935861726,29.79380534680281
475,interleaved,50,2.0,0.0,-1.0857260354736695,-1.0451991674398897,-30.87953138227648,-29.83433221483659,29.79380534680281
476,interleaved,51,2.0,26.78,-1.3289725900872185,-0.24324655461354894,-31.122777936890028,-30.87953138227648,29.79380534680281
477,interleaved,52,2.0,0.0,0.8572840507745667,2.186256640861785,-28.936521296028243,-31.122777936890028,29.79380534680281
478,interleaved,53,2.0,26.78,-2.349541660192344,-3.2068257109669105,-32.14334700699516,-28.936521296028243,29.79380534680281
479,interleaved,54,2.0,26.78,-3.343573522886018,-0.9940318626936744,-33.13737886968883,-32.14334700699516,29.79380534680281
480,interleaved,55,2.0,26.78,-0.09787579297673688,3.2456977299092813,-29.891681139779546,-33.13737886968883,29.79380534680281
