condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,1002,238,2,107,46.6,67.65,0.05,1.06,107,1205,Correct
incongruent_pointer_middle,1002,239,1,106,76.48,47.16,0.09,0.74,102,5657,Incorrect
incongruent_pointer_middle,1002,240,2,100,58.54,50.96,0.07,0.8,100,3015,Correct
incongruent_pointer_middle,1002,241,2,107,45.35,65.23,0.05,1.02,100,3803,Incorrect
incongruent_pointer_middle,1002,242,2,100,59.49,44.87,0.07,0.7,100,1935,Correct
incongruent_pointer_middle,1002,243,2,100,43.46,35.01,0.05,0.55,100,2007,Correct
incongruent_pointer_middle,1002,244,2,107,48.81,77.6,0.05,1.22,107,3673,Correct
incongruent_pointer_middle,1002,245,1,102,30.53,55.42,0.03,0.87,102,5881,Correct
incongruent_pointer_middle,1002,246,1,102,39.94,63.33,0.04,0.99,106,2157,Incorrect
incongruent_pointer_middle,1002,247,1,102,38.08,67.41,0.04,1.06,102,1387,Correct
incongruent_pointer_middle,1002,248,2,107,51.23,81.65,0.06,1.28,107,1320,Correct
incongruent_pointer_middle,1002,249,1,102,12.75,30.47,0.01,0.48,102,1201,Correct
incongruent_pointer_middle,1002,250,1,102,36.59,67.61,0.04,1.06,102,1572,Correct
incongruent_pointer_middle,1002,251,2,100,74.59,47.36,0.08,0.74,107,3025,Incorrect
incongruent_pointer_middle,1002,252,2,107,57.12,73.89,0.06,1.16,107,4679,Correct
incongruent_pointer_middle,1002,253,1,106,71.27,56.96,0.08,0.89,106,7936,Correct
incongruent_pointer_middle,1002,254,1,106,77.07,46.18,0.09,0.73,106,5218,Correct
incongruent_pointer_middle,1002,255,1,106,42.23,33.2,0.05,0.52,106,2736,Correct
incongruent_pointer_middle,1002,256,1,102,32.05,45.79,0.04,0.72,102,2428,Correct
incongruent_pointer_middle,1002,257,2,100,86.05,58.18,0.1,0.91,100,3129,Correct
incongruent_pointer_middle,1002,258,1,102,46.49,61.03,0.05,0.96,102,3805,Correct
incongruent_pointer_middle,1002,259,1,102,45.42,64.99,0.05,1.02,102,972,Correct
incongruent_pointer_middle,1002,260,2,107,31.82,46.94,0.04,0.74,1073742050,3739,Correct
