condition,subject,trial,cat,x,y,xt,yt,resp,fb,rotation,su,target_angle_left,target_angle_right,rt,mt,ep
"{'cat': 'II', 'resp': 'button'}",19,98,Right,44.979021933055606,24.196422011317004,2.2489510966527804,0.3800765081695593,Right,Correct,0.0,0.0,-45,45,558,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,99,Left,51.442259567546515,73.68900943975603,2.5721129783773256,1.1575042535312323,Right,Incorrect,0.0,0.0,-45,45,731,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,100,Left,35.48050408409798,62.240394147531255,1.7740252042048992,0.9776698250520865,Left,Correct,0.0,0.0,-45,45,587,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,101,Left,49.290907681195414,61.44483168461966,2.464545384059771,0.9651731591073124,Left,Correct,0.0,0.0,-45,45,553,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,102,Left,30.28106335524733,55.065496849888426,1.5140531677623665,0.8649668018494069,Right,Incorrect,0.0,0.0,-45,45,448,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,103,Right,73.77484419428812,47.49567692846612,3.688742209714406,0.7460603485787171,Right,Correct,0.0,0.0,-45,45,470,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,104,Right,80.38360730929753,64.41717881098945,4.019180365464877,1.0118626785879226,Right,Correct,0.0,0.0,-45,45,505,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,105,Left,49.92072969960524,64.48226615514929,2.496036484980262,1.0128850681991939,Left,Correct,0.0,0.0,-45,45,1593,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,106,Right,81.73731358873637,54.584227637864736,4.086865679436818,0.8574070427449438,Right,Correct,0.0,0.0,-45,45,804,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,107,Left,19.12084330839334,35.94067450172639,0.956042165419667,0.5645547948984282,Left,Correct,0.0,0.0,-45,45,668,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,108,Left,30.992571850601337,43.62351661273351,1.5496285925300668,0.6852365965715794,Right,Incorrect,0.0,0.0,-45,45,1181,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,109,Left,48.64793464151481,58.555288812422575,2.4323967320757403,0.9197843258096767,Right,Incorrect,0.0,0.0,-45,45,500,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,110,Right,89.43439462476618,65.56217340792878,4.471719731238309,1.0298482116586458,Right,Correct,0.0,0.0,-45,45,486,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,111,Right,36.476032457146545,23.459263496489946,1.8238016228573273,0.36849724929600003,Left,Incorrect,0.0,0.0,-45,45,922,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,112,Right,59.44548992522254,43.37032238534143,2.972274496261127,0.681259430948048,Right,Correct,0.0,0.0,-45,45,661,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,113,Left,53.83616303600542,60.89153280227166,2.6918081518002714,0.9564819605871929,Right,Incorrect,0.0,0.0,-45,45,1268,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,114,Right,60.24723189259528,34.547619080059135,3.012361594629764,0.5426727315046617,Right,Correct,0.0,0.0,-45,45,684,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,115,Right,37.03594373572086,23.632971646959497,1.8517971867860432,0.3712258505429192,Left,Incorrect,0.0,0.0,-45,45,864,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,116,Right,49.10845250609068,35.05504042916432,2.455422625304534,0.5506432874177791,Right,Correct,0.0,0.0,-45,45,843,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,117,Right,56.09705287508232,38.66767960811179,2.8048526437541157,0.6073904909410393,Right,Correct,0.0,0.0,-45,45,761,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,118,Left,18.406458194349323,48.44647141357352,0.9203229097174662,0.7609953934261524,Right,Incorrect,0.0,0.0,-45,45,1983,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,119,Left,23.63866069094354,40.899621985019486,1.181933034547177,0.642449759813684,Left,Correct,0.0,0.0,-45,45,853,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,120,Left,35.13995746548995,62.905993724580405,1.7569978732744973,0.988125038759537,Right,Incorrect,0.0,0.0,-45,45,858,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,121,Right,47.30899080877048,23.614120757450465,2.365449540438524,0.3709297414629431,Right,Correct,0.0,0.0,-45,45,826,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,122,Right,85.4838662617093,58.854208642866936,4.274193313085465,0.9244797475263583,Right,Correct,0.0,0.0,-45,45,2148,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,123,Left,51.94454508644589,72.74518030677986,2.597227254322295,1.1426786201792225,Right,Incorrect,0.0,0.0,-45,45,899,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,124,Left,55.88244043822693,75.5608825591975,2.7941220219113467,1.18690756773368,Right,Incorrect,0.0,0.0,-45,45,506,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,125,Left,43.35785807661768,71.38225730629253,2.167892903830884,1.1212698757505246,Right,Incorrect,0.0,0.0,-45,45,503,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,126,Right,67.29952257765942,37.119777980175314,3.364976128882971,0.5830761090270147,Right,Correct,0.0,0.0,-45,45,562,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,127,Right,48.63999642963073,37.67105509194982,2.4319998214815364,0.5917355496492296,Right,Correct,0.0,0.0,-45,45,969,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,128,Left,45.261785393428006,68.17205190223534,2.2630892696714002,1.0708440871810232,Left,Correct,0.0,0.0,-45,45,891,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,129,Right,74.01298712003091,41.32491840679417,3.700649356001546,0.6491303003849108,Right,Correct,0.0,0.0,-45,45,660,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,130,Right,83.17533905212258,53.39543538901242,4.158766952606129,0.8387335377667493,Right,Correct,0.0,0.0,-45,45,1136,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,131,Left,49.08569200242111,69.53893808247868,2.454284600121056,1.0923150850917527,Left,Correct,0.0,0.0,-45,45,1097,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,132,Right,60.49672385384401,51.27900212545104,3.0248361926922005,0.805488681803662,Right,Correct,0.0,0.0,-45,45,1922,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,133,Right,32.90291865717514,18.5039204637838,1.6451459328587572,0.2906589029581651,Right,Correct,0.0,0.0,-45,45,1041,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,134,Right,38.115158884468514,20.4087048578895,1.9057579442234256,0.3205791862541399,Right,Correct,0.0,0.0,-45,45,2940,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,135,Left,48.22237273111459,74.83269576703717,2.4111186365557296,1.1754692363502197,Left,Correct,0.0,0.0,-45,45,898,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,136,Right,51.00649980424859,32.066158333656425,2.5503249902124296,0.5036940372493107,Right,Correct,0.0,0.0,-45,45,1024,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,137,Left,25.107392093978426,39.9718178018924,1.2553696046989213,0.6278758457852744,Right,Incorrect,0.0,0.0,-45,45,1230,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,138,Left,64.58202734239318,75.11236774908956,3.229101367119659,1.1798623135713733,Right,Incorrect,0.0,0.0,-45,45,2014,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,139,Left,41.34250829684974,61.51882531496821,2.0671254148424874,0.9663354483348895,Left,Correct,0.0,0.0,-45,45,1259,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,140,Left,22.75031861045808,45.74168523699297,1.1375159305229041,0.718508711516769,Right,Incorrect,0.0,0.0,-45,45,1669,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,141,Left,22.714076202756683,44.243454682739824,1.1357038101378343,0.6949745610036417,Left,Correct,0.0,0.0,-45,45,598,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,142,Right,42.75648474827235,25.663599427935047,2.1378242374136174,0.4031228771373598,Right,Correct,0.0,0.0,-45,45,624,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,143,Left,44.18126058200653,55.196733259929296,2.2090630291003266,0.8670282585577465,Left,Correct,0.0,0.0,-45,45,666,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,144,Left,35.942715086939884,59.86093643291245,1.7971357543469941,0.9402933906732168,Left,Correct,0.0,0.0,-45,45,1200,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,145,Right,53.78601217662905,30.30088016178305,2.6893006088314526,0.4759651125678116,Right,Correct,0.0,0.0,-45,45,955,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,146,Left,60.9757065794675,78.61777392373006,3.048785328973375,1.2349251050018677,Left,Correct,0.0,0.0,-45,45,549,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,147,Left,63.72437577562346,77.11488640440884,3.186218788781173,1.211317803052511,Left,Correct,0.0,0.0,-45,45,552,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,148,Left,41.37419072342432,57.95515040173865,2.068709536171216,0.9103573736989685,Left,Correct,0.0,0.0,-45,45,756,-1,-1
"{'cat': 'II', 'resp': 'button'}",19,149,Right,46.688881949948474,18.133707472599422,2.3344440974974234,0.2848436108913234,Right,Correct,0.0,0.0,-45,45,559,-1,-1
