condition,subject,trial,state,t,xx,yy
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29507.0,848,669
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29509.0,849,666
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29512.0,850,663
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29516.0,850,663
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29519.0,850,663
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29522.0,852,659
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29525.0,852,659
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29528.0,852,659
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29531.0,852,659
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29534.0,854,654
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29537.0,856,649
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29540.0,856,649
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29543.0,856,649
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29546.0,859,643
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29549.0,859,643
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29552.0,862,637
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29555.0,862,637
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29558.0,862,637
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29561.0,862,637
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29563.0,865,632
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29566.0,865,632
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29569.0,868,627
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29572.0,868,627
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29575.0,868,627
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29578.0,868,627
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29581.0,872,621
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29584.0,876,616
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29587.0,876,616
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29591.0,876,616
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29594.0,876,616
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29596.0,880,611
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29600.0,883,607
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29603.0,883,607
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29606.0,883,607
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29609.0,883,607
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29612.0,887,602
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29615.0,887,602
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29618.0,888,601
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29622.0,888,601
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29625.0,891,598
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29627.0,891,598
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29630.0,891,598
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29633.0,891,598
