condition,subject,trial,su,rotation,rt,mt,ep
interleaved,1000,207,0.0,0.0,674,166,-1.56
interleaved,1000,208,0.0,0.0,461,147,-1.56
interleaved,1000,209,26.78,0.0,485,148,-1.64
interleaved,1000,210,0.0,0.0,721,187,-1.55
interleaved,1000,211,26.78,0.0,494,198,-1.56
interleaved,1000,212,0.0,0.0,568,135,-1.5
interleaved,1000,213,0.0,0.0,480,153,-1.57
interleaved,1000,214,26.78,0.0,475,169,-1.58
interleaved,1000,215,0.0,0.0,338,165,-1.55
interleaved,1000,216,26.78,0.0,297,187,-1.57
interleaved,1000,217,0.0,0.0,332,165,-1.56
interleaved,1000,218,26.78,0.0,576,165,-1.61
interleaved,1000,219,26.78,0.0,364,162,-1.57
interleaved,1000,220,0.0,0.0,496,139,-1.64
interleaved,1000,221,0.0,0.0,361,176,-1.61
interleaved,1000,222,26.78,0.0,432,226,-1.56
interleaved,1000,223,26.78,0.0,421,165,-1.56
interleaved,1000,224,26.78,0.0,378,185,-1.6
interleaved,1000,225,26.78,0.0,341,187,-1.61
interleaved,1000,226,26.78,0.0,463,165,-1.63
interleaved,1000,227,26.78,0.0,403,149,-1.59
interleaved,1000,228,0.0,0.0,432,250,-1.56
interleaved,1000,229,26.78,0.0,372,175,-1.58
interleaved,1000,230,0.0,0.26,329,206,-1.84
interleaved,1000,231,26.78,0.26,1058,185,-1.81
interleaved,1000,232,26.78,0.26,517,163,-1.83
interleaved,1000,233,0.0,0.26,423,177,-1.86
interleaved,1000,234,26.78,0.26,362,165,-1.84
interleaved,1000,235,26.78,0.26,390,145,-1.83
interleaved,1000,236,0.0,0.26,424,185,-1.77
interleaved,1000,237,26.78,0.26,371,197,-1.81
interleaved,1000,238,0.0,0.26,332,195,-1.81
interleaved,1000,239,26.78,0.26,398,208,-1.85
interleaved,1000,240,26.78,0.26,637,146,-1.82
interleaved,1000,241,0.0,0.26,463,156,-1.79
interleaved,1000,242,0.0,0.26,347,144,-1.82
interleaved,1000,243,26.78,0.26,371,205,-1.9
interleaved,1000,244,0.0,0.26,466,165,-1.88
interleaved,1000,245,0.0,0.26,371,209,-1.9
interleaved,1000,246,0.0,0.26,463,174,-1.89
interleaved,1000,247,0.0,0.26,650,178,-1.85
interleaved,1000,248,0.0,0.26,423,154,-1.84
interleaved,1000,249,0.0,0.26,268,195,-1.86
interleaved,1000,250,26.78,0.26,495,227,-1.84
interleaved,1000,251,0.0,0.26,442,186,-1.82
interleaved,1000,252,0.0,0.26,530,192,-1.82
interleaved,1000,253,26.78,0.26,427,194,-1.84
interleaved,1000,254,0.0,0.26,1755,163,-1.85
interleaved,1000,255,26.78,0.26,474,198,-1.83
interleaved,1000,256,26.78,0.26,515,175,-1.8
interleaved,1000,257,26.78,0.26,611,188,-1.79
interleaved,1000,258,26.78,0.26,453,166,-1.82
interleaved,1000,259,26.78,0.26,300,195,-1.83
interleaved,1000,260,26.78,0.26,510,175,-1.81
interleaved,1000,261,0.0,0.26,538,161,-1.84
interleaved,1000,262,26.78,0.26,688,1027,-1.78
interleaved,1000,263,0.0,0.26,563,123,-1.82
interleaved,1000,264,0.0,0.26,599,145,-1.83
interleaved,1000,265,0.0,0.26,593,134,-1.87
interleaved,1000,266,0.0,0.26,477,153,-1.85
interleaved,1000,267,0.0,0.26,1980,176,-1.85
interleaved,1000,268,0.0,0.26,3425,188,-1.86
interleaved,1000,269,0.0,0.26,432,158,-1.84
interleaved,1000,270,26.78,0.26,267,196,-1.86
interleaved,1000,271,0.0,0.26,475,177,-1.81
interleaved,1000,272,0.0,0.26,353,164,-1.82
interleaved,1000,273,26.78,0.26,417,166,-1.86
interleaved,1000,274,0.0,0.26,595,175,-1.83
interleaved,1000,275,26.78,0.26,375,167,-1.88
interleaved,1000,276,26.78,0.26,635,164,-1.77
interleaved,1000,277,26.78,0.26,442,186,-1.81
interleaved,1000,278,0.0,0.26,600,164,-1.79
interleaved,1000,279,26.78,0.26,340,158,-1.81
interleaved,1000,280,26.78,0.26,476,163,-1.86
interleaved,1000,281,0.0,0.26,424,185,-1.78
interleaved,1000,282,0.0,0.26,391,155,-1.8
interleaved,1000,283,26.78,0.26,423,140,-1.78
interleaved,1000,284,26.78,0.26,509,174,-2.31
interleaved,1000,285,0.0,0.26,401,155,-1.8
interleaved,1000,286,0.0,0.26,405,134,-1.79
interleaved,1000,287,0.0,0.26,341,174,-1.82
interleaved,1000,288,26.78,0.26,367,167,-1.8
interleaved,1000,289,26.78,0.26,279,165,-1.71
interleaved,1000,290,0.0,0.26,399,144,-1.84
interleaved,1000,291,26.78,0.26,403,134,-1.84
interleaved,1000,292,0.0,0.26,335,145,-1.79
interleaved,1000,293,26.78,0.26,390,134,-1.83
interleaved,1000,294,0.0,0.26,445,134,-1.78
interleaved,1000,295,26.78,0.26,334,144,-1.88
interleaved,1000,296,0.0,0.26,473,135,-1.81
interleaved,1000,297,0.0,0.26,402,133,-1.82
interleaved,1000,298,26.78,0.26,363,177,-1.82
interleaved,1000,299,26.78,0.26,465,123,-1.81
interleaved,1000,300,0.0,0.26,570,167,-1.87
interleaved,1000,301,0.0,0.26,517,144,-1.86
interleaved,1000,302,26.78,0.26,517,146,-1.87
interleaved,1000,303,0.0,0.26,402,146,-1.86
interleaved,1000,304,26.78,0.26,462,155,-1.84
interleaved,1000,305,0.0,0.26,502,125,-1.85
interleaved,1000,306,0.0,0.26,437,143,-1.83
interleaved,1000,307,0.0,0.26,355,165,-1.87
interleaved,1000,308,26.78,0.26,644,134,-1.8
interleaved,1000,309,26.78,0.26,424,133,-1.86
interleaved,1000,310,26.78,0.26,517,154,-1.88
interleaved,1000,311,0.0,0.26,776,149,-1.85
interleaved,1000,312,26.78,0.26,410,153,-1.8
interleaved,1000,313,0.0,0.26,1663,155,-1.9
interleaved,1000,314,26.78,0.26,333,133,-1.83
interleaved,1000,315,0.0,0.26,527,146,-1.81
interleaved,1000,316,0.0,0.26,313,140,-1.92
interleaved,1000,317,0.0,0.26,372,173,-1.9
interleaved,1000,318,26.78,0.26,497,176,-1.82
interleaved,1000,319,26.78,0.26,472,155,-1.84
interleaved,1000,320,0.0,0.26,423,147,-1.8
interleaved,1000,321,0.0,0.26,333,156,-1.8
interleaved,1000,322,0.0,0.26,314,163,-1.84
interleaved,1000,323,0.0,0.26,414,147,-1.86
interleaved,1000,324,26.78,0.26,401,136,-1.88
interleaved,1000,325,0.0,0.26,583,123,-1.81
interleaved,1000,326,26.78,0.26,391,126,-1.8
interleaved,1000,327,26.78,0.26,332,138,-1.88
interleaved,1000,328,0.0,0.26,438,175,-1.85
interleaved,1000,329,26.78,0.26,438,175,-1.88
interleaved,1000,330,0.0,0.0,322,165,-1.61
interleaved,1000,331,0.0,0.0,446,155,-1.59
interleaved,1000,332,26.78,0.0,478,146,-1.58
interleaved,1000,333,0.0,0.0,371,135,-1.52
interleaved,1000,334,26.78,0.0,453,134,-1.53
interleaved,1000,335,0.0,0.0,760,175,-1.5
interleaved,1000,336,26.78,0.0,492,156,-1.61
interleaved,1000,337,26.78,0.0,532,146,-1.58
interleaved,1000,338,0.0,0.0,546,134,-1.55
interleaved,1000,339,26.78,0.0,335,155,-1.55
interleaved,1000,340,0.0,0.0,501,129,-1.53
interleaved,1000,341,26.78,0.0,473,123,-1.57
interleaved,1000,342,0.0,0.0,447,124,-1.53
interleaved,1000,343,0.0,0.0,565,125,-1.57
interleaved,1000,344,0.0,0.0,381,157,-1.56
interleaved,1000,345,0.0,0.0,423,146,-1.57
interleaved,1000,346,0.0,0.0,418,142,-1.56
interleaved,1000,347,0.0,0.0,343,155,-1.63
interleaved,1000,348,0.0,0.0,324,133,-1.59
interleaved,1000,349,26.78,0.0,321,164,-1.65
interleaved,1000,350,26.78,0.0,415,139,-1.59
interleaved,1000,351,26.78,0.0,370,129,-1.62
interleaved,1000,352,0.0,0.0,394,123,-1.61
interleaved,1000,353,26.78,0.0,355,144,-1.64
interleaved,1000,354,26.78,0.0,373,153,-1.63
interleaved,1000,355,26.78,0.0,340,166,-1.58
interleaved,1000,356,0.0,0.0,192,143,-1.59
interleaved,1000,357,0.0,0.0,335,156,-1.61
interleaved,1000,358,26.78,0.0,371,146,-1.65
interleaved,1000,359,26.78,0.0,563,122,-1.59
interleaved,1000,360,0.0,0.0,413,135,-1.6
interleaved,1000,361,0.0,0.0,466,143,-1.6
interleaved,1000,362,0.0,0.0,413,135,-1.58
interleaved,1000,363,0.0,0.0,475,134,-1.54
interleaved,1000,364,0.0,0.0,371,148,-1.57
interleaved,1000,365,26.78,0.0,450,115,-1.54
interleaved,1000,366,0.0,0.0,352,167,-1.64
interleaved,1000,367,26.78,0.0,354,158,-1.59
interleaved,1000,368,0.0,0.0,413,135,-1.59
interleaved,1000,369,26.78,0.0,394,156,-1.55
interleaved,1000,370,0.0,0.0,475,154,-1.6
interleaved,1000,371,26.78,0.0,458,190,-1.65
interleaved,1000,372,0.0,0.0,444,165,-1.66
interleaved,1000,373,0.0,0.0,458,155,-1.66
interleaved,1000,374,0.0,0.0,412,163,-1.56
interleaved,1000,375,26.78,0.0,1683,192,-1.61
interleaved,1000,376,26.78,0.0,11546,133,-1.58
interleaved,1000,377,0.0,0.0,124,144,-1.58
interleaved,1000,378,0.0,0.0,3873,216,-1.55
interleaved,1000,379,0.0,0.0,530,124,-1.55
interleaved,1000,380,26.78,0.0,362,135,-1.56
interleaved,1000,381,0.0,0.0,415,133,-1.63
interleaved,1000,382,0.0,0.0,177,178,-1.6
interleaved,1000,383,0.0,0.0,386,134,-1.58
interleaved,1000,384,26.78,0.0,435,143,-1.56
interleaved,1000,385,26.78,0.0,427,167,-1.58
interleaved,1000,386,26.78,0.0,443,156,-1.52
interleaved,1000,387,0.0,0.0,321,124,-1.55
interleaved,1000,388,0.0,0.0,365,138,-1.61
interleaved,1000,389,26.78,0.0,1236,145,-1.59
interleaved,1000,390,0.0,0.0,383,125,-1.57
interleaved,1000,391,0.0,0.0,373,145,-1.49
interleaved,1000,392,0.0,0.0,239,156,-1.61
interleaved,1000,393,0.0,0.0,2643,147,-1.55
interleaved,1000,394,0.0,0.0,506,145,-1.53
